"Station.Id","Start.Date","Stop.Date","Rain.Total","Temperature.Dry.Bulb.Mean","Temperature.Dry.Bulb.Maximum","Temperature.Dry.Bulb.Minimum","Season","GDD","CGDD"
"CLD",2012-06-30,2012-06-30,0,NA,4.8,NA,"2012-2013",NA,0
"CLD",2012-07-01,2012-07-01,0,NA,3.4,NA,"2012-2013",NA,0
"CLD",2012-07-02,2012-07-02,0,NA,2.4,NA,"2012-2013",NA,0
"CLD",2012-07-03,2012-07-03,0,NA,NA,NA,"2012-2013",NA,0
"CLD",2012-07-04,2012-07-04,0,NA,2.5,NA,"2012-2013",NA,0
"CLD",2012-07-05,2012-07-05,0,NA,NA,NA,"2012-2013",NA,0
"CLD",2012-07-06,2012-07-06,0,NA,NA,NA,"2012-2013",NA,0
"CLD",2012-07-07,2012-07-07,0,NA,0.8,NA,"2012-2013",NA,0
"CLD",2012-07-08,2012-07-08,0,NA,0.9,NA,"2012-2013",NA,0
"CLD",2012-07-09,2012-07-09,0,NA,0.7,NA,"2012-2013",NA,0
"CLD",2012-07-10,2012-07-10,0,1.5,6.6,NA,"2012-2013",0,0
"CLD",2012-07-11,2012-07-11,0,1.2,9.9,NA,"2012-2013",0,0
"CLD",2012-07-12,2012-07-12,0,8,14.7,NA,"2012-2013",1,1
"CLD",2012-07-13,2012-07-13,13,4.8,5.9,2.1,"2012-2013",0,1
"CLD",2012-07-14,2012-07-14,8.2,6.1,8.4,4.6,"2012-2013",0,1
"CLD",2012-07-15,2012-07-15,0,4.8,12.6,NA,"2012-2013",0,1
"CLD",2012-07-16,2012-07-16,1.6,4.5,11.8,NA,"2012-2013",0,1
"CLD",2012-07-17,2012-07-17,0,8,15.5,0.3,"2012-2013",1,2
"CLD",2012-07-18,2012-07-18,0,8.8,17.8,0.9,"2012-2013",1.8,3.8
"CLD",2012-07-19,2012-07-19,0,6.2,14,NA,"2012-2013",0,3.8
"CLD",2012-07-20,2012-07-20,0,4.1,10.8,NA,"2012-2013",0,3.8
"CLD",2012-07-21,2012-07-21,0,6.8,11.7,2.8,"2012-2013",0,3.8
"CLD",2012-07-22,2012-07-22,0,2.8,8.8,NA,"2012-2013",0,3.8
"CLD",2012-07-23,2012-07-23,0,0.8,3.6,NA,"2012-2013",0,3.8
"CLD",2012-07-24,2012-07-24,0.2,1.4,2.7,NA,"2012-2013",0,3.8
"CLD",2012-07-25,2012-07-25,0,1.9,7,NA,"2012-2013",0,3.8
"CLD",2012-07-26,2012-07-26,0,0.7,9.4,NA,"2012-2013",0,3.8
"CLD",2012-07-27,2012-07-27,0,0.8,7.8,NA,"2012-2013",0,3.8
"CLD",2012-07-28,2012-07-28,0,6.6,13.2,NA,"2012-2013",0,3.8
"CLD",2012-07-29,2012-07-29,0.2,7.4,13.6,1.9,"2012-2013",0.4,4.2
"CLD",2012-07-30,2012-07-30,12.8,7.3,9.6,2.7,"2012-2013",0.3,4.5
"CLD",2012-07-31,2012-07-31,3,7.9,10.3,5,"2012-2013",0.9,5.4
"CLD",2012-08-01,2012-08-01,0,4.9,12.3,NA,"2012-2013",0,5.4
"CLD",2012-08-02,2012-08-02,0,2.6,12.9,NA,"2012-2013",0,5.4
"CLD",2012-08-03,2012-08-03,0,3.2,13.1,NA,"2012-2013",0,5.4
"CLD",2012-08-04,2012-08-04,0,3.9,9.8,NA,"2012-2013",0,5.4
"CLD",2012-08-05,2012-08-05,0.8,6.4,12.3,NA,"2012-2013",0,5.4
"CLD",2012-08-06,2012-08-06,0,4.8,13.1,NA,"2012-2013",0,5.4
"CLD",2012-08-07,2012-08-07,4.4,5.8,11.2,NA,"2012-2013",0,5.4
"CLD",2012-08-08,2012-08-08,0,5.8,9.3,NA,"2012-2013",0,5.4
"CLD",2012-08-09,2012-08-09,0,4.2,12.4,NA,"2012-2013",0,5.4
"CLD",2012-08-10,2012-08-10,0,4.7,6.4,1.5,"2012-2013",0,5.4
"CLD",2012-08-11,2012-08-11,0,4.6,9.9,0.3,"2012-2013",0,5.4
"CLD",2012-08-12,2012-08-12,1.4,6.4,7.7,2.6,"2012-2013",0,5.4
"CLD",2012-08-13,2012-08-13,0.2,6.4,9.1,4.3,"2012-2013",0,5.4
"CLD",2012-08-14,2012-08-14,0.4,6.9,9.4,4.9,"2012-2013",0,5.4
"CLD",2012-08-15,2012-08-15,0,7.6,13.4,0.5,"2012-2013",0.6,6
"CLD",2012-08-16,2012-08-16,0,5.8,14.8,NA,"2012-2013",0,6
"CLD",2012-08-17,2012-08-17,0,4,14.1,NA,"2012-2013",0,6
"CLD",2012-08-18,2012-08-18,0,4,13.7,NA,"2012-2013",0,6
"CLD",2012-08-19,2012-08-19,0,2.3,7.9,NA,"2012-2013",0,6
"CLD",2012-08-20,2012-08-20,0,7.2,11.7,2.6,"2012-2013",0.2,6.2
"CLD",2012-08-21,2012-08-21,0,6,12.4,1.4,"2012-2013",0,6.2
"CLD",2012-08-22,2012-08-22,0,3.1,11.7,NA,"2012-2013",0,6.2
"CLD",2012-08-23,2012-08-23,0,4.7,14.3,NA,"2012-2013",0,6.2
"CLD",2012-08-24,2012-08-24,0,8,12.9,1.5,"2012-2013",1,7.2
"CLD",2012-08-25,2012-08-25,1.8,8.9,17.8,0.5,"2012-2013",1.9,9.1
"CLD",2012-08-26,2012-08-26,0,10.6,17.3,1.5,"2012-2013",3.6,12.7
"CLD",2012-08-27,2012-08-27,0,6.9,14.7,NA,"2012-2013",0,12.7
"CLD",2012-08-28,2012-08-28,0,7.3,14.3,2.5,"2012-2013",0.3,13
"CLD",2012-08-29,2012-08-29,0,8.2,17.5,NA,"2012-2013",1.2,14.2
